year,month,day,price
2018,1,1,13380
2018,1,2,14675
2018,1,3,14919
2018,1,4,15059
2018,1,5,16960
2018,1,6,17069
2018,1,7,16150
2018,1,8,14902
2018,1,9,14400
2018,1,10,14907
2018,1,11,13238
2018,1,12,13740
2018,1,13,14210
2018,1,14,13474
2018,1,15,13539
2018,1,16,10900
2018,1,17,10988
2018,1,18,10961
2018,1,19,11474
2018,1,20,12799
2018,1,21,11530
2018,1,22,10760
2018,1,23,10799
2018,1,24,11349
2018,1,25,11175
2018,1,26,11089
2018,1,27,11491
2018,1,28,11879
2018,1,29,11251
2018,1,30,10237
2018,1,31,10285
