year,month,day,price
2024,1,1,44179
2024,1,2,44946
2024,1,3,42845
2024,1,4,44151
2024,1,5,44145
2024,1,6,43968
2024,1,7,43929
2024,1,8,46951
2024,1,9,46110
2024,1,10,46653
2024,1,11,46339
2024,1,12,42782
2024,1,13,42847
2024,1,14,41732
2024,1,15,42511
2024,1,16,43137
2024,1,17,42776
2024,1,18,41327
2024,1,19,41659
2024,1,20,41696
2024,1,21,41580
2024,1,22,39568
2024,1,23,39897
2024,1,24,40084
2024,1,25,39961
2024,1,26,41823
2024,1,27,42120
2024,1,28,42031
2024,1,29,43302
2024,1,30,42941
2024,1,31,42580
2024,2,1,43082
2024,2,2,43200
2024,2,3,43011
2024,2,4,42582
2024,2,5,42708
2024,2,6,43098
2024,2,7,44349
2024,2,8,45288
2024,2,9,47132
2024,2,10,47751
2024,2,11,48299
2024,2,12,49917
2024,2,13,49699
2024,2,14,51795
2024,2,15,51880
2024,2,16,52124
2024,2,17,51642
2024,2,18,52137
2024,2,19,51774
2024,2,20,52258
2024,2,21,51849
2024,2,22,51288
2024,2,23,50744
2024,2,24,51568
2024,2,25,51728
2024,2,26,54476
2024,2,27,57037
2024,2,28,62432
2024,2,29,61130
2024,3,1,62387
2024,3,2,61987
2024,3,3,63113
2024,3,4,68245
2024,3,5,63724
2024,3,6,66074
2024,3,7,66823
2024,3,8,68124
2024,3,9,68313
2024,3,10,68955
2024,3,11,72078
2024,3,12,71452
2024,3,13,73072
2024,3,14,71388
2024,3,15,69499
2024,3,16,65300
2024,3,17,68393
2024,3,18,67609
2024,3,19,61937
2024,3,20,67840
2024,3,21,65501
2024,3,22,63796
2024,3,23,63990
2024,3,24,67209
2024,3,25,69880
2024,3,26,69988
2024,3,27,69469
2024,3,28,70780
2024,3,29,69850
2024,3,30,69582
2024,3,31,71280
