year,month,day,price
2017,8,17,4285
2017,8,18,4108
2017,8,19,4139
2017,8,20,4086
2017,8,21,4016
2017,8,22,4040
2017,8,23,4114
2017,8,24,4316
2017,8,25,4280
2017,8,26,4337
2017,8,27,4310
2017,8,28,4386
2017,8,29,4587
2017,8,30,4555
2017,8,31,4724
2017,9,1,4834
2017,9,2,4472
2017,9,3,4509
2017,9,4,4100
2017,9,5,4366
2017,9,6,4619
2017,9,7,4691
2017,9,8,4282
2017,9,9,4258
2017,9,10,4130
2017,9,11,4208
2017,9,12,4163
2017,9,13,3944
2017,9,14,3189
2017,9,15,3700
2017,9,16,3714
2017,9,17,3699
2017,9,18,4035
2017,9,19,3910
2017,9,20,3900
2017,9,21,3609
2017,9,22,3595
2017,9,23,3780
2017,9,24,3660
2017,9,25,3920
2017,9,26,3882
2017,9,27,4193
2017,9,28,4174
2017,9,29,4174
2017,9,30,4378
2017,10,1,4378
2017,10,2,4380
2017,10,3,4310
2017,10,4,4208
2017,10,5,4292
2017,10,6,4369
2017,10,7,4423
2017,10,8,4640
2017,10,9,4786
2017,10,10,4783
2017,10,11,4821
2017,10,12,5430
2017,10,13,5649
2017,10,14,5869
2017,10,15,5709
2017,10,16,5760
2017,10,17,5595
2017,10,18,5512
2017,10,19,5683
2017,10,20,6010
2017,10,21,6024
2017,10,22,5950
2017,10,23,5915
2017,10,24,5477
2017,10,25,5689
2017,10,26,5861
2017,10,27,5768
2017,10,28,5719
2017,10,29,6169
2017,10,30,6120
2017,10,31,6463
2017,11,1,6753
2017,11,2,7019
2017,11,3,7115
2017,11,4,7357
2017,11,5,7345
2017,11,6,6960
2017,11,7,7064
2017,11,8,7303
2017,11,9,7079
2017,11,10,6506
2017,11,11,6245
2017,11,12,5811
2017,11,13,6465
2017,11,14,6574
2017,11,15,7240
2017,11,16,7864
2017,11,17,7699
2017,11,18,7761
2017,11,19,8038
2017,11,20,8212
2017,11,21,8119
2017,11,22,8205
2017,11,23,8019
2017,11,24,8138
2017,11,25,8700
2017,11,26,9128
2017,11,27,9650
2017,11,28,9896
2017,11,29,9687
2017,11,30,9838
2017,12,1,10782
2017,12,2,10890
2017,12,3,11165
2017,12,4,11579
2017,12,5,11699
2017,12,6,13550
2017,12,7,16599
2017,12,8,15880
2017,12,9,14656
2017,12,10,14899
2017,12,11,16587
2017,12,12,16349
2017,12,13,16033
2017,12,14,16334
2017,12,15,17539
2017,12,16,19102
2017,12,17,18860
2017,12,18,18856
2017,12,19,17295
2017,12,20,16488
2017,12,21,15492
2017,12,22,13326
2017,12,23,13300
2017,12,24,13500
2017,12,25,13699
2017,12,26,15689
2017,12,27,15459
2017,12,28,14182
2017,12,29,14378
2017,12,30,12440
2017,12,31,13716
2018,1,1,13380
2018,1,2,14675
2018,1,3,14919
2018,1,4,15059
2018,1,5,16960
2018,1,6,17069
2018,1,7,16150
2018,1,8,14902
2018,1,9,14400
2018,1,10,14907
2018,1,11,13238
2018,1,12,13740
2018,1,13,14210
2018,1,14,13474
2018,1,15,13539
2018,1,16,10900
2018,1,17,10988
2018,1,18,10961
2018,1,19,11474
2018,1,20,12799
2018,1,21,11530
2018,1,22,10760
2018,1,23,10799
2018,1,24,11349
2018,1,25,11175
2018,1,26,11089
2018,1,27,11491
2018,1,28,11879
2018,1,29,11251
2018,1,30,10237
2018,1,31,10285
2018,2,1,9224
2018,2,2,8873
2018,2,3,9199
2018,2,4,8184
2018,2,5,6939
2018,2,6,7652
2018,2,7,7599
2018,2,8,7784
2018,2,9,8683
2018,2,10,8533
2018,2,11,8063
2018,2,12,8903
2018,2,13,8539
2018,2,14,9449
2018,2,15,10000
2018,2,16,10159
2018,2,17,11039
2018,2,18,10383
2018,2,19,11153
2018,2,20,11200
2018,2,21,10437
2018,2,22,9811
2018,2,23,10131
2018,2,24,9694
2018,2,25,9590
2018,2,26,10324
2018,2,27,10569
2018,2,28,10326
2018,3,1,10920
2018,3,2,11039
2018,3,3,11464
2018,3,4,11515
2018,3,5,11454
2018,3,6,10716
2018,3,7,9910
2018,3,8,9271
2018,3,9,9227
2018,3,10,8770
2018,3,11,9533
2018,3,12,9131
2018,3,13,9150
2018,3,14,8170
2018,3,15,8240
2018,3,16,8260
2018,3,17,7824
2018,3,18,8189
2018,3,19,8600
2018,3,20,8909
2018,3,21,8885
2018,3,22,8722
2018,3,23,8898
2018,3,24,8546
2018,3,25,8470
2018,3,26,8134
2018,3,27,7795
2018,3,28,7949
2018,3,29,7090
2018,3,30,6840
2018,3,31,6923
2018,4,1,6813
2018,4,2,7056
2018,4,3,7405
2018,4,4,6796
2018,4,5,6770
2018,4,6,6601
2018,4,7,6895
2018,4,8,7018
2018,4,9,6782
2018,4,10,6843
2018,4,11,6953
2018,4,12,7923
2018,4,13,7877
2018,4,14,7999
2018,4,15,8355
2018,4,16,8064
2018,4,17,7885
2018,4,18,8173
2018,4,19,8278
2018,4,20,8856
2018,4,21,8915
2018,4,22,8787
2018,4,23,8934
2018,4,24,9619
2018,4,25,8869
2018,4,26,9266
2018,4,27,8915
2018,4,28,9348
2018,4,29,9419
2018,4,30,9246
2018,5,1,9071
