year,month,day,price,price_shifted_1,price_shifted_2,price_shifted_3,price_shifted_10,price_shifted_50,price_shifted_100,price_shifted_200,cycle_year_0,cycle_year_1,cycle_year_2,cycle_year_3,last_halving,next_halving
2024,1,1,44179,42283,42140,42066,43969,37064,26575,25598,0,0,1,0,1330,-110
2024,1,2,44946,44179,42283,42140,43702,36462,26248,26345,0,0,1,0,1331,-109
2024,1,3,42845,44946,44179,42283,42991,35551,26304,26516,0,0,1,0,1332,-108
2024,1,4,44151,42845,44946,44179,43576,37858,26221,26339,0,0,1,0,1333,-107
2024,1,5,44145,44151,42845,44946,42508,36163,26372,26844,0,0,1,0,1334,-106
2024,1,6,43968,44145,44151,42845,43428,36613,27021,28307,0,0,1,0,1335,-105
2024,1,7,43929,43968,44145,44151,42563,36568,26906,29993,0,0,1,0,1336,-104
2024,1,8,46951,43929,43968,44145,42066,37359,26962,29884,0,0,1,0,1337,-103
2024,1,9,46110,46951,43929,43968,42140,37448,27992,30688,0,0,1,0,1338,-102
2024,1,10,46653,46110,46951,43929,42283,35741,27494,30527,0,0,1,0,1339,-101
2024,1,11,46339,46653,46110,46951,44179,37408,27426,30462,0,0,1,0,1340,-100
2024,1,12,42782,46339,46653,46110,44946,37294,27778,30267,0,0,1,0,1341,-99
2024,1,13,42847,42782,46339,46653,42845,37713,27410,30692,0,0,1,0,1342,-98
2024,1,14,41732,42847,42782,46339,44151,37780,27931,30077,0,0,1,0,1343,-97
2024,1,15,42511,41732,42847,42782,44145,37447,27956,30447,0,0,1,0,1344,-96
2024,1,16,43137,42511,41732,42847,43968,37242,27917,30472,0,0,1,0,1345,-95
2024,1,17,42776,43137,42511,41732,43929,37818,27590,30585,0,0,1,0,1346,-94
2024,1,18,41327,42776,43137,42511,46951,37854,27390,30617,0,0,1,0,1347,-93
2024,1,19,41659,41327,42776,43137,46110,37723,26875,31156,0,0,1,0,1348,-92
2024,1,20,41696,41659,41327,42776,46653,38682,26759,30766,0,0,1,0,1349,-91
2024,1,21,41580,41696,41659,41327,46339,39450,26862,30504,0,0,1,0,1350,-90
2024,1,22,39568,41580,41696,41659,42782,39972,26852,29895,0,0,1,0,1351,-89
2024,1,23,39897,39568,41580,41696,42847,41991,27154,30344,0,0,1,0,1352,-88
2024,1,24,40084,39897,39568,41580,41732,44073,28500,30284,0,0,1,0,1353,-87
2024,1,25,39961,40084,39897,39568,42511,43762,28395,30160,0,0,1,0,1354,-86
2024,1,26,41823,39961,40084,39897,43137,43273,28320,30411,0,0,1,0,1355,-85
2024,1,27,42120,41823,39961,40084,42776,44170,28713,30622,0,0,1,0,1356,-84
2024,1,28,42031,42120,41823,39961,41327,43713,29669,30380,0,0,1,0,1357,-83
2024,1,29,43302,42031,42120,41823,41659,43789,29909,31454,0,0,1,0,1358,-82
2024,1,30,42941,43302,42031,42120,41696,41253,29992,30312,0,0,1,0,1359,-81
2024,1,31,42580,42941,43302,42031,41580,41492,33069,30289,0,0,1,0,1360,-80
2024,2,1,43082,42580,42941,43302,39568,42869,33922,30231,0,0,1,0,1361,-79
2024,2,2,43200,43082,42580,42941,39897,43022,34496,30138,0,0,1,0,1362,-78
2024,2,3,43011,43200,43082,42580,40084,41940,34151,29859,0,0,1,0,1363,-77
2024,2,4,42582,43011,43200,43082,39961,42278,33892,29909,0,0,1,0,1364,-76
2024,2,5,42708,42582,43011,43200,41823,41374,34081,29800,0,0,1,0,1365,-75
2024,2,6,43098,42708,42582,43011,42120,42657,34525,29901,0,0,1,0,1366,-74
2024,2,7,44349,43098,42708,42582,42031,42275,34474,29794,0,0,1,0,1367,-73
2024,2,8,45288,44349,43098,42708,43302,43668,34639,30083,0,0,1,0,1368,-72
2024,2,9,47132,45288,44349,43098,42941,43861,35421,29176,0,0,1,0,1369,-71
2024,2,10,47751,47132,45288,44349,42580,43969,34941,29228,0,0,1,0,1370,-70
2024,2,11,48299,47751,47132,45288,43082,43702,34716,29351,0,0,1,0,1371,-69
2024,2,12,49917,48299,47751,47132,43200,42991,35062,29222,0,0,1,0,1372,-68
2024,2,13,49699,49917,48299,47751,43011,43576,35011,29314,0,0,1,0,1373,-67
2024,2,14,51795,49699,49917,48299,42582,42508,35046,29352,0,0,1,0,1374,-66
2024,2,15,51880,51795,49699,49917,42708,43428,35399,29281,0,0,1,0,1375,-65
2024,2,16,52124,51880,51795,49699,43098,42563,35624,29232,0,0,1,0,1376,-64
2024,2,17,51642,52124,51880,51795,44349,42066,36701,29705,0,0,1,0,1377,-63
2024,2,18,52137,51642,52124,51880,45288,42140,37301,29186,0,0,1,0,1378,-62
2024,2,19,51774,52137,51642,52124,47132,42283,37130,29193,0,0,1,0,1379,-61
2024,2,20,52258,51774,52137,51642,47751,44179,37064,29113,0,0,1,0,1380,-60
2024,2,21,51849,52258,51774,52137,48299,44946,36462,29072,0,0,1,0,1381,-59
2024,2,22,51288,51849,52258,51774,49917,42845,35551,29088,0,0,1,0,1382,-58
2024,2,23,50744,51288,51849,52258,49699,44151,37858,29211,0,0,1,0,1383,-57
2024,2,24,51568,50744,51288,51849,51795,44145,36163,29770,0,0,1,0,1384,-56
2024,2,25,51728,51568,50744,51288,51880,43968,36613,29581,0,0,1,0,1385,-55
2024,2,26,54476,51728,51568,50744,52124,43929,36568,29455,0,0,1,0,1386,-54
2024,2,27,57037,54476,51728,51568,51642,46951,37359,29426,0,0,1,0,1387,-53
2024,2,28,62432,57037,54476,51728,52137,46110,37448,29430,0,0,1,0,1388,-52
2024,2,29,61130,62432,57037,54476,51774,46653,35741,29303,0,0,1,0,1389,-51
2024,3,1,62387,61130,62432,57037,52258,46339,37408,29430,0,0,1,0,1390,-50
